0.85,1,0,0,101284.21,21.13,0.07,2,0.19,-2.70,1.08,-8.54,8.84,1.10,178.22,8.60,-23.25,3.30,4.89,11.54
0.87,1,0,0,101291.99,21.13,-0.57,3,0.19,-2.70,1.08,-8.23,8.78,0.98,178.17,8.66,-23.45,3.30,4.91,11.54
0.89,1,0,0,101275.55,21.14,0.80,0,0.19,-2.69,1.09,-8.35,8.90,0.85,178.13,8.71,-23.64,3.30,4.91,11.67
0.91,1,0,0,101275.55,21.14,0.80,0,0.19,-2.70,1.08,-8.60,9.02,1.10,178.09,8.78,-23.84,3.30,4.91,11.70
0.93,1,0,0,101284.21,21.13,0.07,1,0.18,-2.71,1.09,-8.23,8.96,1.28,178.05,8.84,-24.03,3.30,4.91,11.70
0.95,1,0,0,101283.33,21.14,0.15,2,0.19,-2.70,1.09,-8.29,8.96,1.22,178.00,8.90,-24.23,3.30,4.91,11.68
0.97,1,0,0,101283.33,21.14,0.15,3,0.19,-2.70,1.08,-8.72,8.84,1.16,177.96,8.95,-24.43,3.30,4.91,11.70
0.99,1,0,0,101285.92,21.14,-0.07,4,0.18,-2.69,1.08,-8.17,8.90,1.16,177.92,9.01,-24.62,3.30,4.92,11.71
1.01,1,0,0,101285.92,21.14,-0.07,5,0.18,-2.70,1.09,-8.54,8.90,1.22,177.88,9.07,-24.81,3.30,4.93,11.71
1.03,1,0,0,101279.02,21.13,0.51,0,0.19,-2.70,1.09,-8.66,8.90,1.16,177.83,9.13,-25.01,3.30,4.91,11.73
1.05,1,0,0,101282.48,21.15,0.22,0,0.19,-2.70,1.08,-8.11,8.96,1.16,177.79,9.19,-25.20,3.30,4.94,11.70
1.07,1,0,0,101279.90,21.14,0.43,0,0.20,-2.69,1.09,-8.66,9.09,1.10,177.74,9.25,-25.40,3.30,4.92,11.70
1.09,1,0,0,101280.73,21.14,0.36,0,0.19,-2.70,1.09,-8.72,9.09,0.98,177.69,9.31,-25.60,3.30,4.91,11.71
1.11,1,0,0,101280.73,21.14,0.36,0,0.18,-2.70,1.09,-8.48,9.02,1.22,177.65,9.36,-25.80,3.30,4.92,11.73
1.13,1,0,0,101285.92,21.14,-0.07,1,0.19,-2.70,1.10,-8.60,8.96,1.04,177.60,9.42,-25.99,3.30,4.94,11.71
1.15,1,0,0,101276.43,21.13,0.72,0,0.19,-2.70,1.08,-8.29,8.96,0.98,177.55,9.48,-26.19,3.30,4.92,11.71
1.17,1,0,0,101279.02,21.13,0.51,0,0.18,-2.70,1.09,-8.48,8.96,0.98,177.50,9.53,-26.38,3.30,4.91,11.70
1.20,1,0,0,101282.48,21.14,0.22,1,0.19,-2.70,1.09,-8.60,9.02,1.16,177.45,9.59,-26.58,3.30,4.92,11.71
1.22,1,0,0,101275.55,21.14,0.80,0,0.19,-2.70,1.09,-8.35,8.90,1.10,177.41,9.64,-26.77,3.30,4.92,11.70
1.24,1,0,0,101285.92,21.14,-0.07,1,0.20,-2.69,1.08,-8.35,9.02,1.10,177.36,9.70,-26.97,3.30,4.91,11.73
1.26,1,0,0,101280.73,21.14,0.36,0,0.19,-2.70,1.08,-8.54,9.15,1.10,177.31,9.75,-27.16,3.30,4.91,11.71
1.28,1,0,1,101275.55,21.14,0.80,0,0.19,-2.70,1.09,-8.35,9.15,1.22,177.26,9.81,-27.36,3.29,4.91,11.54
1.30,1,0,1,101277.30,21.14,0.65,0,0.19,-2.70,1.10,-8.48,8.90,1.16,177.21,9.86,-27.55,3.30,4.89,11.54
1.32,1,0,1,101278.14,21.14,0.58,0,0.20,-2.70,1.07,-8.54,9.02,1.16,177.16,9.92,-27.75,3.30,4.91,11.52
1.34,1,0,1,101273.83,21.15,0.94,0,0.18,-2.70,1.09,-8.35,9.02,1.10,177.11,9.97,-27.94,3.29,4.91,11.52
1.37,2,0,1,101283.33,21.14,0.15,1,0.20,-2.70,1.09,-8.23,9.09,1.22,177.06,10.03,-28.14,3.30,4.92,11.33
1.39,2,0,1,101280.73,21.14,0.36,2,0.19,-2.69,1.09,-8.60,8.96,1.34,177.01,10.08,-28.33,3.30,4.91,11.47
1.41,2,0,1,101283.33,21.14,0.15,3,0.19,-2.70,1.10,-8.54,8.90,1.10,176.96,10.13,-28.53,3.30,4.91,11.47
1.43,2,0,1,101283.33,21.14,0.15,4,0.20,-2.69,1.09,-8.17,9.02,1.16,176.90,10.18,-28.72,3.30,4.91,11.47
1.45,2,0,1,101281.61,21.15,0.29,5,0.18,-2.70,1.09,-8.54,8.96,0.79,176.85,10.23,-28.92,3.30,4.91,11.62
1.47,2,0,1,101285.92,21.14,-0.07,6,0.19,-2.70,1.08,-8.11,9.15,1.16,176.80,10.28,-29.11,3.30,4.92,11.63
1.49,2,0,0,101285.92,21.14,-0.07,7,0.18,-2.70,1.08,-8.54,9.02,1.10,176.74,10.34,-29.30,3.30,4.92,11.70
1.51,2,0,0,101278.14,21.14,0.58,0,0.19,-2.70,1.09,-8.60,8.90,1.22,176.69,10.39,-29.50,3.29,4.92,11.70
1.53,2,0,0,101282.48,21.15,0.22,1,0.18,-2.70,1.08,-8.23,8.96,1.22,176.64,10.44,-29.69,3.30,4.91,11.70
1.55,2,0,0,101281.61,21.15,0.29,0,0.19,-2.69,1.10,-8.48,8.90,1.10,176.58,10.49,-29.89,3.30,4.91,11.70
1.57,2,0,0,101282.48,21.15,0.22,1,0.19,-2.70,1.08,-8.35,9.21,1.10,176.53,10.54,-30.08,3.30,4.92,11.68
1.59,2,0,0,101281.61,21.15,0.29,0,0.19,-2.70,1.08,-8.72,9.02,1.22,176.47,10.59,-30.28,3.30,4.91,11.70
1.61,2,0,0,101284.19,21.15,0.08,1,0.18,-2.70,1.08,-8.41,9.09,1.16,176.42,10.64,-30.47,3.30,4.91,11.71
1.63,2,0,0,101287.67,21.15,-0.21,2,0.19,-2.70,1.09,-8.41,9.02,0.98,176.36,10.68,-30.67,3.30,4.91,11.70
1.65,2,0,0,101274.71,21.14,0.87,0,0.18,-2.70,1.08,-8.54,9.02,1.10,176.30,10.73,-30.86,3.30,4.91,11.70
1.67,2,0,0,101272.95,21.14,1.01,0,0.19,-2.70,1.09,-8.29,8.90,1.04,176.25,10.78,-31.06,3.30,4.91,11.68
1.69,2,0,0,101279.02,21.15,0.51,0,0.20,-2.69,1.09,-8.54,9.09,1.10,176.19,10.83,-31.25,3.30,4.91,11.68
1.71,2,0,0,101279.02,21.15,0.51,0,0.20,-2.70,1.09,-8.60,8.96,1.10,176.13,10.87,-31.45,3.30,4.92,11.70
1.73,2,0,0,101279.89,21.15,0.43,1,0.20,-2.71,1.08,-8.48,8.90,1.22,176.08,10.92,-31.64,3.30,4.91,11.73
1.75,2,0,0,101277.30,21.15,0.65,0,0.20,-2.70,1.09,-8.72,9.09,1.10,176.02,10.96,-31.84,3.30,4.91,11.71
1.78,2,0,0,101282.48,21.15,0.22,1,0.18,-2.70,1.08,-8.48,8.84,1.04,175.96,11.01,-32.03,3.30,4.91,11.55
1.80,2,0,0,101279.89,21.15,0.43,2,0.18,-2.69,1.09,-8.23,9.09,1.22,175.90,11.05,-32.22,3.30,4.92,11.55
1.82,2,0,0,101279.89,21.15,0.43,3,0.19,-2.70,1.10,-8.48,9.02,1.10,175.84,11.10,-32.42,3.30,4.91,11.55
1.84,2,0,0,101275.55,21.14,0.80,0,0.18,-2.70,1.09,-8.41,9.09,1.10,175.78,11.14,-32.61,3.30,4.92,11.55
